"Field","Operator fill up info"
"Brand Name","GoldenBounty"
"Parent Operator","PG"
"Operator Token","(same OT as our existing live GoldenBounty account)"
"Server","Same as existing GoldenBounty server"
"Office IP","31.59.20.176"
"Market operation license","No"
"Choice of Currencies","USD"
"Person in charge of 1:1000 unit","N/A"
"Integrate currency USD or SC&GC","Yes"
"Disclaimer agreement (USD)","Agreed"
"Integrate Free Game & Bonus","Free Game + Bonus"
"Reason for not integrating","N/A"
"Operator Test site","https://golden-bounty.com"
"Test Site Country Restriction","No restriction"
"Test Site Language","English"
"Test account & Password","pgtest@golden-bounty.com (password sent separately)"
"Bypass QAT","No"
"Disclaimer agreement (Bypass QAT)","N/A"
"Target Launch Date","2026-08-31"
"Existing live currency","USDT (unchanged)"
"Server IP","172.245.40.68"
